ROWS_SITE_ID,dH_HOUR_SPECIAL,dH_LT_SOFT,dH_SPECIAL,DOPCT_LTE_DOPCT,dQ_SPECIAL,EC_GT_SAL,H_GT_FSL,RO_H_GT_HARD,SO_H_GT_HARD,H_GTE_HARD,RO_H_GT_SOFT,SO_H_GT_SOFT,H_LT_HARD,H_LTE_HARD,H_LT_SOFT,H_PREP,H_RANGE_GT_HARD,H_RANGE_LT_HARD,RO_H_RANGE_GT_SOFT,RO_H_RANGE_LT_SOFT,SO_H_RANGE_GT_SOFT,SO_H_RANGE_LT_SOFT,H_SPECIAL,Q_GT_rel(Q)_SOFT,Q_GT_HARD,RO_Q_GT_SOFT,SO_Q_GT_SOFT,Q_LT_HARD,Q_LT_rel(Q)_HARD,RO_Q_LT_SOFT,SO_Q_LT_SOFT,Q_PREP,Q_SPECIAL,Q-QORD_GT_SOFT,Q-QORD_LT_SOFT,Q-QCAP_LT_HARD,Q-QCAP_LT_SOFT,V_GTE_FSL,V_GTE_HARD,V_GT_SOFT,V_RANGE_GT_SOFT,V_RANGE_LT_SOFT,V_PREP,V_SPECIAL,H_S_SOFT_1,H_S_SOFT_2,dH_S_SOFT_1,dH_S_SOFT_2,dH_S_HARD_1,dH_S_HARD_2,dH_S_HARD_3,dH_S_HARD_4,dH_S_HARD_5,dH_S_HARD_6,Q_S_SOFT_1,Q_S_SOFT_2,Q_S_SOFT_3,Q_S_HARD_1,Q_S_HARD_2,Q_S_HARD_3,Q_S_HARD_4,dQ_S_HARD_1,dQ_S_HARD_2,dQ_S_HARD_3,dQ_S_HARD_4,dQ_S_HARD_5,V_S_SOFT,V_S_COND_1,V_S_COND_2,V_S_COND_3,H_S_COND_1,H_S_COND_2,H_S_COND_3,Q_S_COND_1,Q_S_COND_2,Q_S_COND_3,TYPE,H_GT_rel(FSL)_HARD
R_401027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_H_SOFT_1,
R_401204A,,,,,,,,,3.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_H_HARD_1,
R_401211A,X,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,-0.02,-0.06,-0.72,0.15,0.1,0.05,,,,,,,,,,,,,,,,,1.754,1.250,1.750,,,,SO_dH_SOFT_1,
R_401224A,,,,,,,486,,,,485.39,,,,,,,,,,,,X,,,,,,,,,,,,,,,,3817440,3756381,,,X,,484.78,484.93,,,,,,,,,,,,,,,,,,,,,,60,70,80,,,,,,,RO_H_SOFT_1,
R_403234A,,,,,,,408.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_FSL,
R_405232C,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409003,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409005,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409006,,,,,,,,,,2.604,,,,,,,,,,,2.495,2.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_H_SOFT_1,
R_409008,,,X,,,,,,2.464,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,-0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_dH_SOFT_1; SO_H_SOFT_1,
R_409013,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409014,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409016,,,X,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,-0.249,-0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_dH_SOFT_1,
R_409017,,,X,,,,,,,,,,,,,,,,,,,,,,25000,,,1200,,,,,,,,,,,,,,,,,,,,,-0.154,-0.225,,,,,,,,,,,,,,,,,,,,,,,,12000,,,SO_dH_SOFT_1,
R_409023,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_Q_HARD_1,
R_409025,,,X,,,,,,,,,,,,,,,,,,,,,,,10000,,1800,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_dH_SOFT_1; SO_Q_HARD_1,
R_409026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_409216A,500,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_Q_SOFT_1; SO_Q_HARD_1,
R_409029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409030,,,X,,,,,,2.54,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,-0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_dH_SOFT_1; SO_H_SOFT_1,
R_409036,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409044,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409048,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409062,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409086,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUMMY,
R_409204C,,,,,,,,,,,,,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_H_SOFT_1,
R_409207B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_Q_HARD_1,
R_409216A,,,,,,,124.9,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_H_SOFT_1; RO_H_FSL,
R_409219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409701E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_Q_SOFT_1,
R_409722A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_409216A,500,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_Q_SOFT_1; SO_Q_HARD_1,
R_410130,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_414200A,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_414201B,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_414203C,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_414206,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_414207A,,,,,,,,,,,,,1.2,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_414209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_414211B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUMMY,
R_425007,,,,50,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_425010,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD,
R_425012,,,,,2000,,,,3.349,,,,,,,X,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,350,300,200,500,-250,-500,500,1000,2000,,640000,480000,1731000,,,,1000,5000,9000,SO_dQ_HARD_1,R_425022
R_425020,,,,,,,,62.3,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,61.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_V_HARD_1,
R_425021,,,,,,,,61.5,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,60.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_V_HARD_1,
R_425040,,,,,,,,60.45,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,59.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_V_HARD_1,
R_426200A,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_A4260500,,,,,,,,,,,,,,,,,,,,,,,,,10000,,7000,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_Q_SOFT_1;SO_Q_SOFT_1,
R_A4260501,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL_1,
R_A4260502,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,700,,,,,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_Q_HARD_1,
R_A4260505,,,,,,,,,,,,,,24.57,,,,,,,,,,,,,,,R_414211B,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1;SO_Q_SOFT_1,
R_A4260506,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_A4260508,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_ SAL,
R_A4260510,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_A4260524,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_A4260554,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_A4260641,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_A4261093,,,X,,,,,,27.049,,,,,,,,,,24.45,24.55,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,25.950,27.049,,,,,SO_H_SOFT_1; RO_H_SOFT_1,
R_A4261162,,,,,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_EC_SAL,
R_BURPUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_COOMPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_CURLPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_FMITPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_MENINDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050000,,,,,X,,,,,,,,,,,,,,,,,,,,,,,1730000,,,,,,,,,,RO_V_HARD_1,
R_MERBPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_MILDINF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_MILLPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_REDCPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_SWHPUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WCORPUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WENTINF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WENTMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_Q_HARD_1,
R_414202,,,,,,,,,,,,,,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260507,,,,,,,,,,,,,,22.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260509,,,,,,,,,,,,,,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260511,,,,,,,,,,,,,,16.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260513,,,,,,,,,,,,,,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260515,,,,,,,,,,,,,,10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260517,,,,,,,,,,,,,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260519,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_A4260903,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_H_HARD_1,
R_409047,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO_DO%_DO,
R_409202A,,,,,,,,,3.349,,,3.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SO_H_HARD_1,
